경력,주요 업무,자격 요건,우대사항,기술
경력,"[On-Premises 제품을 위한 다양한 버전의 프론트엔드 개발]
• Rust를 사용한 WebAssembly 버전 : 기 개발된 소프트웨어의 고도화 및 추가 기능 개발
- 재사용 가능한 UI 컴포넌트 라이브러리 개발
- 상기 라이브러리를 사용하는 UI 개발
• 클럼엘 소프트웨어 모듈들의 설정 및 제어 기능
• AI 머신러닝 모델의 설정 및 현황
• AI가 분석할 대상으로서 저장되어 있는 빅데이터의 검색 및 확인 기능
• 탐지된 개별 위협의 시각화
• 탐지 위협의 검색
• AI 분석 결과를 확인하여 신뢰도를 제고하는 선별(Triage)
• 각종 외부 정보 제공
• 대시보드
• 빅데이터 저장 및 검색
• Spring/React 기반 버전
- WebAssembly 버전 이식
• iPad, Android Tablet 버전
- WebAssembly 버전 이식

[SaaS 서비스 개발]
• 클라우드에서 SaaS 환경 개발
- 사용자의 구독 및 이용 설정
- 빌링 시스템
- 고객 및 이용 현황 통계
• On-Premises 제품 기능 이식","• 2년 이상, 6년 미만의 업무경험을 보유하신 분
• 주어진 설계에 따라 코딩할 수 있는 역량을 보유하신 분
• C++, C#, Java, Rust 중 1개 이상 코딩 경험이 있으신 분
• Git 버전 관리 시스템 사용 경험이 있으신 분","• Rust 개발 경험이 있으신 분
• 보안 솔루션 기업 혹은 네트워크 보안 기업 경력을 보유하신 분
• 머신러닝 데이터 분석 경험이 있으신 분
• 클라우드 환경에서 업무 경험이 있으신 분
• 컴퓨터 공학 및 유관학과 학사 이상의 학위를 소지하신 분",
경력,"• 디사일로 솔루션 Frontend 개발 및 유지보수 업무
• 디사일로 홈페이지 개발 업무","• 2년 이상의 Frontend 개발 경력을 보유하신 분
• 모던 웹 개발(React, Vue 등) 경험과 관련 역량을 갖추신 분
• 동료와 원활한 커뮤니케이션을 통해 적극적으로 문제 해결에 임하시는 분
• 지금보다 더 나은 엔지니어로 성장하고 싶으신 분
• 기술 스택
- 개발 언어: JavaScript / TypeScript
- 프레임워크: React / Next.js
- 인프라: AWS / Kubernetes","• 생산성에 기여하는 좋은 아키텍처를 깊이 이해하는 분
• 테스트 주도 개발에 대한 이해와, 이를 적용해 본 경험을 보유하신 분
• 1년 이상의 Continuous Integration과 Continuous Deployment 운영 경험을 보유하신 분
• PCCP(코딩전문역량인증) JavaScript Lv2 이상 보유하신 분","React, JavaScript, AWS"
경력,"• 네이션에이의 메인 프로덕트인 Generative AI 기반 3D SaaS 제품군의 프론트엔드 개발
• 제품과 관련된 다양한 웹/앱 서비스 개발
• 완벽한 사용자 경험을 목표로 프론트엔드 개발 환경을 개선


[개발환경]
• 코어 : React, TypeScript, JavaScript
• 상태관리 : Zustand
• 스타일링 : Emotion, SCSS
• 업무도구 : Github, AWS(S3, CloudFront, ECS, Amplify)
• 협업도구 : Slack, Notion, JIRA, Slack, Notion","• 프론트엔드 개발 경력 3년 이상 혹은 이에 준하는 실력을 가진 분
• Three.js, React Fiber 개발 역량 및 이해가 있는 분
• ECMAScript 2015+ 개발 역량 및 HTML5, CSS3에 대한 이해가 있는 분
• JavaScript 경력 3년 이상 또는 그에 준하는 실력을 갖추신 분
• TypeScript, React-context, react-query, zustand, emotion
• CI/CD 파이프라인 구축 및 관리 경험","• 2D/3D 애니메이팅 툴에 관심이 많은 분
• 외부 트래킹 관련 경험자
• 프론트엔드 성능 최적화 경험이 있는 분
• 기획, 디자이너 및 서버 개발자 멤버와 원활한 커뮤니케이션 스킬을 보유하신 분
• 테스트 및 배포 자동화 경험이 있는 분",
경력,"• React-Native 앱 개발 (F&B용 스마트주문, 자사 플랫폼 연동 주문앱 신규 개발 및 유지보수)
• 초기 프로토타이핑, MVP, 정식 출시에 이르기까지 제품 개발의 전 과정 참여
• PO, Product Designer, 백엔드 개발자와 의사소통을 통한 유연한 Frontend 개발","• 소프트웨어 개발 경력 7년 이상의 React-Native 개발 경험을 가지신 분
• TypeScript 사용 경험이 있거나 익숙하신 분
• recoil, react-query를 사용해보신 분
• UI/UX에 대한 이해도가 높으신 분
• 새로운 것에 도전하고 회사와 함께 성장하기를 원하시는 분
• 업무에 대해 진정성 있고 기획자, 비개발자와도 유연한 의사소통이 가능하신 분
• 능동적으로 업무에 임하고 IT분야에 대한 공부를 즐겁게 하시는 분","• 컴퓨터 관련학과 전공
• 7년 이상의 Frontend 개발 경험
• 비즈니스 및 기획에서 요구하는 바에 따라 UI 및 앱 로직을 구현하실 수 있는 분
• React Native 기반 iOS/Android App 개발 및 릴리즈 경험","Android, iOS, React"
경력,"• 미니아이 모바일 앱을 React Native로 개발 및 유지보수
• 아티스트와 팬들이 상호작용할 수 있는 모바일 기능 환경 구축
• 모바일 환경에서의 UI/UX 개선 및 최적화
• RESTful API와 통신하여 데이터를 효과적으로 처리하고 전달
• AI 기반 챗봇 및 팬덤 커뮤니티 기능 구현","• React Native 개발 경력 1년이상
• 모바일 앱 개발 및 배포 경험
• Swift 또는 object-c, Kotlin 등의 Native 개발 경험
• 주어진 상황에서 적절한 기술적 판단을 내리실수 있는 분
• API 통신 및 상태 관리(React-Query, Zustand 등) 경험
• Git을 통한 버전 관리 및 협업 능력
• 코드 품질 향상을 위한 코드 리뷰 및 테스트","• 앱 성능 최적화 및 배포 자동화 경험
• App Store 및 Google Play 스토어에 앱 출시 및 유지보수 경험
• AI 관련 기술과의 연동 경험 (챗봇, TTS 등)
• 기술적인 도전을 즐기시는 분
• Firebase 또는 클라우드 서비스(GCP)와의 연동 경험
• Apple, Google 인앱결제 개발 경험",
경력,"• 화주향 서비스인 TOMS의 고객 Data Analysis 설계 및 개선
　- 고객들은 데이터를 통해 물류 현황을 관리하고자 합니다.
　- TOMS는 그런 니즈에 맞춰 고객들에게 질 높은 데이터 분석 툴을 제공합니다.

• 내부 효율화 서비스인 PMS의 효율성 증대 및 UX 개선
　- 포트로직스 운영팀의 업무 효율화 및 자동화의 최전선입니다.
　- 대량의 데이터를 효율적으로 처리할 수 있도록 UX를 개선합니다.

• 트럭 물류 시스템을 제어할 TIMS 및 TIMS App 개선
　- 배와 비행기를 타고 들어온 짐은 트럭을 타고 최종 목적지까지 가야합니다.
　 그 마지막 경로를 제어하는 시스템을 설계합니다.
　- 운송사가 사용할 TIMS와 화물차 기사님이 사용할 TIMS App을 통해 화물을 관제합니다.

• 우리 조직의 회계/정산/통계/관리 업무를 진행하는 Admin 설계 및 개발
　- 우리에게 중요한 업무들은 모두 내부 시스템화 하여 내부에서 관리하고자 합니다.
　- 이는 우리가 추구하는 무역의 완전 자동화에 아주 중요한 과정 중 하나입니다.","• 프론트엔드 실무 개발 경력 3년 이상 5년 이하. 혹은 그에 준하는 분
• 제품 중심으로 고민하고 의사결정 해 나가는 것의 의미를 이해하고 선호하시는 분
• 프론트엔드 생태계에 대한 깊은 이해와 팀에 적합한 기술 스택 또는 도구를 선택할 수 있는 능력을 가진 분
• 문제 해결의 경험이 있고, 기술적 이론이 아닌 논리적 사고로 이슈를 분석해 문제의 근본적인 원인을 찾아 해결할 수 있는 능력이 있는 분
• React, Vue, Angular 등의 SPA 개발 경험이 있는 분
• 다양한 직군과의 원활한 커뮤니케이션을 즐기고 협업하는 분","• 백엔드의 실무 경험을 해보신 분
• Computer Science에 대한 깊은 이해가 있으신 분
• 컴퓨터 공학 학사이상의 학위를 소지하신 분
• 팀을 이끌어본 경험이 있으신 분
• React Native 와 같은 크로스 플랫폼 앱 개발 경험이 있으신 분","React, HTML, JavaScript, TypeScript, Next.js"
경력,"[같이 하게 될 일]
(i) 교육 기회의 평등을 달성하기 위해 필요한 여러 요소들을 웹으로 옮기는 작업을 합니다.
• 글로벌 1,000만 MAU를 가진 콴다 앱의 핵심인 ""검색 페이지”를 만듭니다.
• 글로벌 250만 MAU의 ""콴다 웹""을 만듭니다.
• 비대면 과외 플랫폼 ""콴다과외""를 만듭니다.
• AI 맞춤형 교육을 제공하기 위해 필요한 여러 데이터 수급 및 관리 플랫폼을 개발합니다.
(ii) QANDA 앱 안에 들어가는 다양한 웹뷰와, Frontend Chapter에서 디자인 일관성을 위해 사용하는 디자인 시스템 (QANDA Design System) 라이브러리를 개발합니다.
(iii) 수백-수천만 단위의 트래픽이 들어오는 서비스들을 모니터링하고 개선합니다.

[Frontend Chapter가 일하는 방식]
• 목적 조직인 TF로 나뉘어져 분기 동안 소수의 제품에만 집중할 수 있습니다.
• 정기적으로 기술 분야 스터디를 진행합니다. 현재까지 Architecture, Refactoring, HTTP, Web.dev에 대해 스터디 했습니다.
• 한 달에 한 번 Frontend Chapter 팀원 모두가 모여 Tech Talk을 진행합니다. 한 달 동안 기술적으로 이뤄낸 성취들이나 어려움들, 그리고 새롭게 알게 된 것들에 대해 자유로운 형식으로 공유하고 논의합니다.
• 정기적인 Weekly 미팅을 통해 Frontend Chapter 구성원들이 기술적으로, 혹은 문화적으로 이야기하고 싶은 것들에 대해 논의하고 결정합니다.
• Agile 팀이 되기 위해 TDD(Test Driven Development) 문화를 정착시켰습니다. 테스트 코드를 먼저 작성함으로써 서비스의 안정성과 짧은 개발 주기를 달성합니다.
• 단순히 기술적으로 뛰어난 전문가가 되는 것을 넘어, 교육 기회의 평등을 달성하기 위해 현재 마주한 문제를 정의하고, 이 문제를 해결하는 방식에 대해 고민합니다.

지원해주시는 분들의 가장 많은 질문 역시 “이 팀은 어떤 성향의 팀인가?” 였습니다. 많은 분들께서 궁금해하신 만큼 저희가 먼저, 저희 팀의 특성을 블로그를 통해 소개하고자 합니다. 콴다 프론트엔드 팀의 멘탈 모델 중 가장 강력한 세 가지는 다음과 같습니다. (링크)
(i) 자유로운 의사소통 분위기가 훌륭한 팀의 기반이다.
(ii) Agile은 모든 곳에 적용될 수 있다.
(iii) 프로세스는 본질이 아니다.

[지원하셔야 할 이유]
• 저희와 함께 만드실 화면이 전 세계 5,500만 유저에게 도달합니다.
• Frontend Engineer로서 해볼 수 있는 다양한 업무를 경험할 수 있습니다. (Canvas, Clean Architecture, A/B Test, TDD, BDD, Monorepo, Microservice Architecture)
• 단순히 라이브러리나 프레임워크를 사용하는 것을 넘어서, 이 기술들이 어떻게 문제를 정의하고 해결하는지를 같이 고민하고 공유합니다.
• 능력 있고 열정적인 동료들이 계속해서 조인하고 있습니다.

[주요 기술]
• React, Next.js, Typescript
• Redux, SWR, React Query
• Cypress, Jest, Storybook, msw
• styled-components, emotion, css modules","• Frontend Developer 관련 경력 3년 이상
• HTML, CSS, JavaScript를 사용한 개발 경험이 있으신 분
• HTTP 통신에 대한 이해가 깊으신 분
• Vue, React, Angular 등의 프론트엔드 프레임워크를 사용한 개발 경험이 있으신 분
• 서버와 클라이언트 간 RESTful API 기반의 개발 경험이 있으신 분","• React, TypeScript 개발 경험이 있으신 분
• 새로운 기술에 대한 학습을 선호하고 호기심이 많으신 분
• 웹을 구성하는 근본적인 기술들 (HTML, CSS, Javascript, HTTP 등)에 대한 높은 이해도를 갖추신 분",
경력,"• 타 팀과 협업하고 팀 내 웹기술에 대해 특정 부분에서 리딩을 진행해요.
• 중고나라 앱 내 웹뷰를 활용해 주문, 결제, 배송 기능을 개발하고 지속적으로 개선해요.
• 웹사이트(web.joongna.com)에서 사용자 경험을 향상시키는 새로운 기능을 개발해요.
• 인증 셀러들을 위한 셀러지원센터에서 인증 셀러들 대상 기능들을 구현해요.
• J쿠폰(중고나라 쿠폰 서비스) 등 다양한 신규 프로젝트의 기능을 구현해요.
• SEO 최적화를 통해 웹사이트의 검색 순위를 개선해요.","• 프론트엔드 개발 경력 7년 이상이 필요해요.
• 특정 파트 또는 팀에 대한 리딩 경험이 필요해요.
• React, Next.js 와 같이 최신 웹 프레임워크에 대한 깊은 이해가 필요해요.
• 서버/클라이언트 상태 관리 경험(TanStack Query, SWR, Zustand, Jotai, Recoil 등)이 필요해요.
• AWS 와 같은 퍼블릭 클라우드 환경에서 개발 및 운영 경험이 필요해요.
• 기획 및 디자인 업무 부서와의 협업이 가능하며, 커뮤니케이션이 원활하신 분이어야 해요.
• 타 팀(벡엔드, DevOps)과도 기술적인 협의가 가능해야 해요.","• 재사용가능한 코드, 컴포넌트 기반 아키텍처에 이해가 깊으면 좋아요.
• SEO를 통한 서비스 유입 성과를 이룬 경험이 있다면 좋아요.
• 테스트 코드 작성에 익숙하고 코드 리뷰 문화를 지향하면 좋아요.
• 성능 이슈, 메모리 누수, 네트워크 프로파일링이 능숙하면 좋아요.
• 퍼포먼스 향상을 위한 최적화 전략을 깊이 이해하고 적용하는데 능숙하면 좋아요.
• 비즈니스 요구사항에 따른 효율적인 아키텍쳐 설계 경험이 있는 분","React, CSS,HTML, JavaScript, TypeScript, Next.js"
경력,"• 다양한 웹 페이지와 연계되는 서비스의 새로운 기능들과 서비스 운영 효율화를 위한 개발
• 스마트 의료자산 관리 프론트엔드 개발
• 신규 사업 프론트엔드 개발","이런 기술을 사용합니다.
• React
• TypeScript
• Tanstack Query (React Query)
• zustand
• styled components, tailwind, Scss
• Yarn
• ESLint, Prettier

• React 사용에 능숙하신 분
• TypeScript, JavaScript, HTML, CSS로 능숙하게 개발하실 수 있는 분
• 다양한 화면 크기에 맞춰 반응형 웹을 개발해보신 경험이 있는 분
• 동료와 팀워크를 기반으로 함께 기술적으로 성장하고자 하는 마인드를 가진 분
• 새로운 것을 배우는 것에 대한 주저함이 없은 분
• 단순히 주어진 개발을 해내는 것보다, 주도적으로 문제를 발견하고 분석해 솔루션을 제안할 수 있는 분","• 반응형 디자인, 웹 접근성, 웹 표준을 고려한 UI/UX 개발 경험 있으신 분
• 테스트 코드 작성에 익숙하고 코드 리뷰 문화를 지향하는 분
• 요구사항 분석 및 다른 개발자와 협업을 위한 원활한 커뮤니케이션 능력을 가지신 분
• 성능 이슈, 메모리 누수 최적화 경험이 있으신 분",
경력,"[하반기 도전과제 후보]
• SEO 확립 및 기술부채 제거를 위해, CRA -＞ Next.js로 주요 페이지 점진적 재작성
• 디자인 정합성과 개발 효율성을 동시에 달성할 수 있는 디자인 시스템 확립
• feature 브랜치의 병렬 배포 환경을 구축하고(like Vercel), 안정적으로 production에 통합되기까지 CI/CD 전체 과정을 재정의
• 디자이너를 위한 강의 서비스 '라우드 클래스' 출시를 기점으로 모든 디자이너 유저가 주인공이 되는 마켓 시스템으로의 확장 도모","• 디자인 시스템, SEO, web vital 최적화 등 웹 프로덕트 품질 향상에 관련하여 전방위적인 관심사를 갖추신 분
• 클라우드 서비스 (AWS, GCP, Azure) 활용 경험이 있으신 분
• 디자이너, 기획자와 더불어 유연한 커뮤니케이션이 가능하신 분

[스터닝의 기술 스택]
• front AS-IS: CRA(Craco), Styled-component, Redux-Toolkit, React-Router
• front TO-BE(wish): Next.js, Emotion, Zustand
• backend & etc: golang(echo), rabbitMQ, redis, mariadb, opensearch
• repository hosting: Bitbucket
• project management: Jira
• cloud: AWS (ECS - capacity: EC2)","• 2년 이상의 프론트엔드 경험이 있으신 분
• 내 기여에 따라 프로덕트가 점진적으로 성장하는 모습을 지켜보고 싶으신 분
• 인프라 구축, 코드 설계, 조직 관리, 협업 등 개발자가 마주하게 될 여러 도전 과제를 자기 철학에 따라 적극적으로 해결 하고픈 의지가 있으신 분
• UI/UX 개선을 위해 디자이너와의 소통이 원활하신 분
• 오픈 플랫폼, 이커머스 구조에 대한 경험 및 지식이 있으신 분
• 여전히 개발이 재밌으신 분","BitBucket, JIRA, Slack, React, AWS, Redux, Next.js"
경력,"• 그립 서비스 웹 기능을 개발해요
• 그립 모바일 웹을 개발해요
• 웹용 그립 플레이어를 개발해요
• 셀러와 그립 구성원이 사용하는 어드민을 개발해요","• 웹 프론트엔드 개발 경력 3년 이상
• HTML, CSS, Javascript에 대한 이해가 깊은 분
• React, Typescript 기반의 웹 서비스를 개발할 분
• RESTful API에 대한 이해가 있으신 분
• 모바일앱 Webview(Android, iOS)에 개발 경험이 있으신 분
• 웹사이트 성능 측정 및 최적화 경험이 있으신 분","• React Native 경험이 있으신 분
• 다양한 직군과 적극적이고 원활한 커뮤니케이션이 가능하신 분
• 민첩하게 일하고 활발하게 동료와 교류할 수 있는 분
• 서버 사이드 개발 경험 혹은 백엔드에 대한 기본적인 이해
• 문제 파악 능력이 뛰어나고, 근본적인 문제 해결 방법을 찾기 위한 노력
• 대용량 트래픽 운영 경험이 있으신 분
• 커머스 서비스 개발 경험이 있으신 분","ReactJS, Recoil, Typescript, React Native, Webpack, Nextjs"
경력,"• 세무 관련 서비스 개발과 운영을 담당합니다.
• 안정적이고 퍼포먼스가 좋은 프론트엔드 시스템을 설계하고 개발합니다.
• 유연하고 확장 가능한 서비스 시스템을 구축합니다.","• 만 3년 이상의 프론트엔드 개발 경력을 보유하신 분
• 컴퓨터공학을 전공하신 분 또는 그에 준하는 학문을 전공했거나 지식을 보유하신 분
• React, TypeScript 기반의 서비스를 2년 이상 개발 및 개선해본 경험이 있는 분
• 웹표준과 HTML/CSS에 대한 이해도가 있으신 분","• Next.js를 이용한 SSR, SSG에 대한 경험과 이해도가 있으신 분
• Nuxt Framework 개발 경험이 있으신 분
• 측정 가능한 데이터 기반의 성능 최적화 경험이 있으신 분
• Figma를 활용한 협업에 경험이 있거나 관심이 있으신 분
• Jira, Confluece 등을 활용한 협업 경험이 있으신 분
• 단위 테스트, E2E 테스트 등의 경험이 있으신 분
• 공통 컴포넌트의 개발 경험이 있으신 분
• 코드 리뷰 등을 통한 적극적인 협업을 통해 함께 성장하기 원하시는 분","TypeScript, Next.js"
경력,"• 웹 전반의 Frontend 개발 및 관련 도구 개발
• 백오피스용 웹 페이지 개발
• 모바일용 웹 뷰 개발
• 재사용 및 테스트 가능한 공용 웹 컴포넌트/프레임워크 설계 및 개발
• 서비스 성능/사용성에 대한 모니터링과 버그 트랙킹을 통한 시스템 유지보수","• 7년 이상의 프론트엔드 개발 경험
• React/Next.js 기반 웹앱 개발 경험 및 설계 능력
• 애자일 방법론(Scrum, Kanban) 기반의 개발 경험이 있으신 분
• 자바스크립트에 대한 전반적인 경험
• 테스트 기법에 대한 지식 및 적용 경험
• 적극적으로 문제를 발견, 공유하고 해결하는 능력
• 디자인 시스템 컴포넌트 모듈화 및 라이브러리화 경험
• AWS 기반 웹앱 배포 및 글로벌 웹서비스 운영 경험","• 디자인 패턴에 대한 지식 및 높은 코드 퀄리티에 대한 관심과 경험
• 웹앱의 퍼포먼스 모니터링 및 최적화 경험
• Typescript에 대한 전반적인 지식 및 사용 경험
• 웹프로젝트 빌드 및 CICD에 대한 경험
• UI / UX에 대한 관심 및 개선 노력
• 새로운 기술을 탐구하고 도입하는 능력",
경력,"【담당하게 될 업무】
• 웹 기반 프론트엔드 개발 및 유지보수
• 실시간 환자 데이터 시각화를 위한 대용량 데이터 처리 및 최적화
• SPA 기반의 UI/UX 구현 및 성능 개선
• WebSocket, REST API 연동을 통한 실시간 데이터 모니터링 기능 개발
• 의료진과 사용자들의 피드백을 반영하여 사용자 친화적인 UI/UX 개선
• 디자인 시스템 및 공용 컴포넌트 구축을 통한 개발 효율화
• 백엔드 개발자, 디자이너, 의료 전문가와 협업

【개발환경】
• 사용언어: TypeScript
• 개발환경 및 도구: Angular, React, D3.js, RxJS, Zustand, React Query, WebSocket

【필요역량】
• 문제 해결력: 실시간 데이터 시각화 및 최적화 문제를 해결하는 역량
• 논리적 사고력: 복잡한 의료 데이터를 효과적으로 표현하는 구조 설계 능력
• 책임감: 환자의 생체 데이터를 다루는 만큼 안정성과 신뢰성을 최우선으로 고려하는 자세
• 커뮤니케이션: 의료진, 디자이너, 백엔드 개발자와 원활한 협업을 위한 커뮤니케이션 능력
• 자기 주도적 학습: 새로운 기술과 의료 IT 트렌드에 대한 지속적인 관심과 학습 태도","• 대한민국 거주 한국인
• React, TypeScript 기반의 웹 애플리케이션 개발 경험
• HTML, CSS, JavaScript(ES6+)에 대한 깊은 이해
• Git을 활용한 협업 및 코드 관리 경험
• 팀원들과 원활하게 소통하며 문제를 해결하는 능력","• 원주 근무 가능자
• 의료/헬스케어 IT 서비스 개발 경험
• D3.js 등의 데이터 시각화 라이브러리 활용 경험
• Angular, RxJS 등 프론트엔드 기술 스택 경험
• 모니터링 시스템, 대시보드, 실시간 스트리밍 데이터 관련 프로젝트 경험","React, Angular"
경력,• WebRTC 기반 프론트엔드 Application 개발 및 유지보수,"• React, Redux, Vue, Webpack, ES6을 활용한 실무 역량을 보유하신 분
• Java Script개발에 능숙하신 분
• HTML5, CSS3를 사용한 웹 표준 마크업에 대해 높은 이해도가 있으신 분
• 논리적인 사교력을 보유하신 분
• 대인관계가 원만하신 분
• 팀 단위 협업과 다른 직군과의 협업 경험 및 원활한 소통 능력이 있으신 분","• Node.js 개발을 경험해 보신 분
• WebRTC 개발을 경험해 보신 분
• 유닛 테스트 지식 보유 및 개발을 경험해 보신 분
• 새로운 기술에 대해 거부감이 없으신 분
• 좋은 UI/UX에 대하여 고민을 지속적으로 하시는 분","React, JavaScript, 프론트엔드 개발자, React.js"
경력,"• 음성인식 AI 서비스 프론트엔드 개발 및 유지보수
• 음성인식 UX를 고려한 사용자 친화적 인터페이스 구현
• 코드 리뷰 및 품질 향상을 위한 코드베이스 개선
• 보안 및 성능 최적화를 고려한 서비스 프론트앤드 개발","• 프론트엔드 개발 경력 4년 이상
• Typescript(JS), Node.js 기반 개발 경력자","• Typescript, Node.js, React.js, Next.js 기반 프론트엔드 개발 경력자
• Jest, cypress 기반 테스트 개발 경력자
• 디자인 시스템 구현에 기여한 경험 보유자
• MSA 서비스 설계 및 개발에 있어 프론트엔드 담당자로 참여한 경험 보유자
• Electron framework 사용한 응용프로그램 개발 경력자
• Figma 사용 가능자","React, Java, JavaScript, Node.js, TypeScript, NoSQL, React.js, Next.js"
경력,"• 숨고 서비스에 필요한 기능들을 유지 보수하거나 새롭게 개발합니다
• Front-end Framework를 Vue 에서 Next 로 마이그레이션합니다
• 챕터 내 동료들의 코드를 리뷰하여 서비스 퀄리티 향상에 기여합니다
• 챕터의 기술 부채를 분석하고 이를 해결하여 챕터의 기술 생산성에 기여합니다
• 숨고 구성원들이 사용하는 백오피스 도구의 개발과 유지 보수를 담당합니다","• Front-end 개발 및 운영 경험 4년 이상, 또는 이에 준하는 역량을 갖추신 분
• Modern Front-end Framework (React, Vue, Angular 등) 활용 경험이 있으신 분
• Typescript 기반의 웹 서비스 개발 경험이 있으신 분
• SSR, SEO에 대한 경험이나 이해도가 높으신 분
• 웹 사이트의 성능을 측정, 분석하고 성능 최적화를 위해 지속적으로 고민하시는 분
• 시맨틱 웹, 웹 접근성, 웹 표준, 크로스 브라우징에 대한 지식이나 경험이 있으신 분","• 수준 높은 코드 리뷰 문화에 관심이 있으신 분
• 애자일 개발 환경에서의 주도적인 개발 경험이 있으신 분
• 반응형 디자인을 고려한 UI개발 경험이 있으신 분
• 개발 문서, 기술 설명서, API 가이드 등 Technical Writing에 대하여 능동적이신 분
• 디자인 시스템 개발 경험이 있으신 분
• Webpack, Rollup 등의 번들러 활용 경험이 있으신 분
• 개발 및 배포 환경의 문제점을 찾아내고 개선한 경험이 있는 분
• Front-end 개발 및 배포 환경을 깊이 이해하고 계신 분
• 지속적인 개발 생산성을 향상을 위한 고민, 개선해 본 경험이 있는 분",
